hour,dayofweek,total_invocations,cold_starts,avg_delay,cold_start_ratio,kmeans_cluster,cluster,pc1,pc2,tsne_1,tsne_2
0,0,5,4,661.0,0.8,2,2,1.0913981455521204,-0.9627279676220794,-11.552308,-14.33432
0,1,12,3,305.8333333333333,0.25,0,0,-0.3450825737918647,0.21022056838655656,-2.1326795,1.8124316
0,2,10,6,381.9,0.6,2,2,0.5134109455825614,-0.591831802008867,-10.101506,-9.611513
0,5,3,2,381.3333333333333,0.6666666666666666,2,2,0.6713479410296805,-0.7501892617560049,-10.920325,-11.626287
0,6,5,2,624.8,0.4,2,2,0.129084655562864,-0.02727472644579314,-3.5326943,-1.3786052
1,0,10,5,376.0,0.5,2,2,0.27400121650735854,-0.3567998482926842,-7.535135,-5.207172
1,1,12,6,298.3333333333333,0.5,2,2,0.24518704535900748,-0.3856140194410353,-7.0104976,-5.380103
1,2,9,6,387.6666666666667,0.6666666666666666,2,2,0.6736975944709624,-0.7478396083147231,-10.689769,-11.732111
1,5,6,1,963.3333333333334,0.16666666666666666,0,0,-0.29883548129204185,0.6518357298792009,-1.0469745,2.122674
1,6,11,7,369.27272727272725,0.6363636363636364,2,2,0.594988377913138,-0.682778617966067,-10.298181,-10.927433
2,0,7,6,536.7142857142857,0.8571428571428571,2,2,1.1808431715996919,-1.1443924745981562,-12.165732,-14.720305
2,1,17,8,196.7058823529412,0.47058823529411764,2,2,0.13771263756100552,-0.35354675582980616,-6.3902726,-4.013458
2,2,10,5,309.8,0.5,2,2,0.24944115474743356,-0.3813599100526092,-7.039738,-5.6336937
2,5,13,5,289.38461538461536,0.38461538461538464,2,2,-0.031849265769655806,-0.11521761965656145,-4.272963,-0.29567882
2,6,11,5,325.72727272727275,0.45454545454545453,2,2,0.14752248448976327,-0.2676232699505587,-5.872695,-3.0739112
3,0,12,4,246.08333333333334,0.3333333333333333,2,2,-0.1695656645243893,-0.00963059133878932,-3.4237108,0.8684251
3,1,8,4,391.0,0.5,2,2,0.2795661851840787,-0.35123487961596406,-7.7640014,-5.5660453
3,2,11,6,358.27272727272725,0.5454545454545454,2,2,0.37525209052382236,-0.47120428463594105,-8.862267,-7.521975
3,5,8,4,395.0,0.5,2,2,0.2810501768312041,-0.3497508879688387,-7.798778,-5.369392
3,6,4,3,361.0,0.75,2,2,0.8614883513198707,-0.9554169204586361,-11.914572,-13.278335
4,0,12,8,361.0833333333333,0.6666666666666666,2,2,0.6638352333161084,-0.7577019694695771,-11.136363,-11.51498
4,1,9,7,464.22222222222223,0.7777777777777778,2,2,0.9656782583792153,-0.9830163697302321,-11.795953,-13.854352
4,2,11,8,352.8181818181818,0.7272727272727273,2,2,0.8045390862699113,-0.9045385303287352,-11.5916,-12.887006
4,5,11,4,325.54545454545456,0.36363636363636365,2,2,-0.06820028003573594,-0.05203541375661657,-3.786277,0.11521486
5,0,14,6,243.07142857142858,0.42857142857142855,2,2,0.055241535951500595,-0.23667261256898092,-5.4550705,-1.8732437
