Delay (s),Cold_Start,timestamp,hour,dayofweek,is_weekend,time_bucket,cluster,cold_start_proba,predicted_delay,prewarm_decision,cold_start_cost,prewarm_cost,net_savings
0,1,2025-03-28 10:43:30,10,4,0,Morning,2,0.5611142076275412,29.26268994123029,0,0.0,0.0,0.0
43018,1,2025-03-28 22:40:28,22,4,0,Evening,0,0.3141865079365079,12959.473582112332,1,215.09,0.002,215.088
301,0,2025-03-28 22:45:29,22,4,0,Evening,0,0.3141865079365079,12959.473582112332,1,0.0,0.002,-0.002
601,1,2025-03-28 22:55:30,22,4,0,Evening,0,0.3141865079365079,12959.473582112332,1,3.005,0.002,3.003
121,0,2025-03-28 22:57:31,22,4,0,Evening,0,0.3141865079365079,12959.473582112332,1,0.0,0.002,-0.002
602,1,2025-03-28 23:07:33,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,3.0100000000000002,0.002,3.0080000000000005
32,0,2025-03-28 23:08:05,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,0.0,0.002,-0.002
422,1,2025-03-28 23:15:07,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,2.11,0.002,2.108
424,0,2025-03-28 23:22:11,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,0.0,0.002,-0.002
422,1,2025-03-28 23:29:13,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,2.11,0.002,2.108
901,1,2025-03-28 23:44:14,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,4.505,0.002,4.503
121,1,2025-03-28 23:46:15,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,0.605,0.002,0.603
601,1,2025-03-28 23:56:16,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,3.005,0.002,3.003
121,1,2025-03-28 23:58:17,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,0.605,0.002,0.603
61,0,2025-03-28 23:59:18,23,4,0,Evening,2,0.8615852758352754,328.9542087634587,1,0.0,0.002,-0.002
302,0,2025-03-29 00:04:20,0,5,1,Night,2,0.6505198412698411,404.3957052669552,1,0.0,0.002,-0.002
